,user_nickname,content,region,city,signature,count_en,count_dg,count_sp,count_zh,count_pu,ads_status,phone_status,kind_words,num_words,name_status,name_phone
1552,马英伦,@eon ,St. Peterburg,,其实我 并没有恶意、,0,0,1,8,1,1,1,0,0,1,1
1554,尼尼🙆,🏡 近大学Askin一间女生房转lease 租期5月～8月 走路3分钟到大学 2分钟到1C公交站 房间干净 无地下室无阁楼 家具齐全 拎包即住 室友超级友好 有意者请加微信！,Seoul,,0,0,0,0,0,0,1,1,0,0,1,1
1557,BruceZz,无家可归！求兄弟收留！,广东,深圳,感恩，自信，思维，信念，微笑。,0,0,0,10,5,1,1,0,0,1,1
1569,玲儿,"🎀 🎀 看片加我🎀 🎀 
 男人的天堂[色][色]

👉 点宝宝头像加我好友。💋 💋 [色]",,,美好的回忆,0,0,0,5,0,1,1,0,0,1,1
1570,3D定制牛扒,求五号晚上回温莎卡普,,,我吃故我在,0,0,0,5,0,1,1,0,0,1,1
1571,秋水,公开做假证,Ontario,Niagara Falls, ,0,0,1,0,0,1,1,0,0,1,1
1572,Amy,棒球帽还团吗？,北京,朝阳,只有让自己足够强大，才能不被生活践踏，才能畅通无阻,0,0,0,23,2,1,1,0,0,1,1
1576,Carrie,@阳光炯炯 注意安全，别开门给陌生人。开完你的事情有点后怕,Toronto,,"Live, Laugh &amp; Love ............Tomorrow will be another day!",40,0,8,0,16,1,1,9,9,1,1
1588,🚙王琳岩,需要5月1号下午4点左右到底特律机场的卡普,辽宁,沈阳,0,0,0,0,0,0,1,1,0,0,1,1
1605,日天帝,这游戏也太虐了，我为什么要手贱点进来…,北京,东城,Rook and roll can never die,22,0,5,0,0,1,1,6,6,1,1
1613,Angie'sBakery(工作中回复慢见谅),儿子今早吃了香菇牛肉酱，直夸好吃😄,,,屏蔽不加，相互尊重，谢谢！,0,0,0,10,3,1,1,0,0,1,1
1619,lan, 出1万多美金，加币，需要人民币，只接受当面交易！现时汇率！,,,0,0,0,0,0,0,1,1,0,0,1,1
1629,Will,"招收快递资料整理员(200名）
    快递资料整理员：每单1-2圆，收入一天可以达到80-200￥左右
主要是给快递公司，淘宝 天猫  京东 微店发货快递单号的录入，
包括：快递单号  地址 姓名  手机号，需要要对资料进行保密
1：手机电脑都可以做，时间地点自由（多劳多得）单天结算
2 :正规工作，没押金不收会费，手机电脑都可以做。
 加手机 QQ: 8617078316765（手机直接点击号码添加）
              (诚信招人，录入为本)  
【注：不需要身份证等重要信息】
【帮朋友转发，是真的 想做加她QQ 】",北京,,今天只有残留的躯壳，迎接光辉岁月！！,0,0,0,15,3,1,1,0,0,1,1
1632,kelly,装一个摄像头或者可视门铃，ring这个牌子的，最近治安特别不好@阳光炯炯 ,,,2018年身体健康，阖家幸福，心想事成，工作顺利，开心快乐每一天,0,4,0,24,4,1,1,1,1,1,1
1634,青梅竹马,这游戏是怎么玩的,广东,广州,如果我再也见不到你，祝你早午晚都安。,0,0,0,16,2,1,1,0,0,1,1
1635,丽红," 🎉第十五团🎈应大家要求我们染发剂第 1️⃣5⃣️ 团开始啦[嘿哈]这好东东太受欢迎[强] 😄
意大利🇮🇹Herbatint 植物染发剂，含有8种有机植物成分，不含阿摩尼亚，不含帕拉苯，超低量过氧化氢, 不刺鼻无异味，皮肤科医生测试认可，敏感肌肤都适用，短发一盒可以用两次，男性短发用四次。不伤头皮和头发，无刺激味道。
团购价14 包税。请将自己选的色号标清楚😊💆
                        
1、胡英 5N、6Ｎ各一盒
2、Sherry Zhu 2N 两盒
3、Sharon 3N 一盒
4、Joey   6N  一盒
5、Annie   6N  一盒
6、Lilly song 2N 四盒3N三盒 1N一盒
7、LEE 5N 两盒
8、丽红 4N 1盒",广东,广州,0,0,0,0,0,0,1,1,0,0,1,1
1638,锋哥（程序十年）,100套微信小程序源码下载：https://mp.weixin.qq.com/s/BFNcwhwyQqYDBPnXhdIdeQ,广东,深圳,相信缘分，一切随缘,0,0,0,8,1,1,1,0,0,1,1
1645,幺妹厨房在线接单ing,@Angie's Bakery(工作中回复慢见谅) 谢谢宝贝的认可[拥抱],Ontario,Toronto,你是来留学，不是来流浪，幺妹厨房，给你家的味道 🌶️,0,0,1,20,5,1,1,0,0,1,1
1646,Isabelle,不好意思等会可以过来拿酱吗？,江西,南昌,0,0,0,0,0,0,1,1,0,0,1,1
1647,Ivy教育基金旅遊，車房人壽保險,@Isabelle 你順便幫我拿一下好吧？,Taipei,,保險 投資 教育基金,0,0,2,8,0,1,1,0,0,1,1
1655,于嘉诚Jack,...挖坟挖一个这么老的群，就为了发个上礼拜的新闻？？,Ontario,London,顺其自然,0,0,0,4,0,1,1,0,0,1,1
1657,Merci,提供4.29号（周日）中午温莎到多伦多，4月30号（周一）下午多伦多回温莎卡普、需要的朋友卡可以私信我、🙏。,,,平静,0,0,0,2,0,1,1,0,0,1,1
1667,Adoy,有人要小猫树吗。dt自取 for fre,广东,广州,没什么不一样,0,0,0,6,0,1,1,0,0,1,1
1677,水乡里的春天,調教南昌离异の骚妇,福建,龙岩,0,0,0,0,0,0,1,1,0,0,1,1
1680,加华锦桥,1,,,各自宇宙   各证一境,0,0,3,8,0,1,1,0,0,1,1
1684,centennial.robotics@gmail.com,各位同学，早上好。我出租房的代款有一项被写上了用于自住，当时由于粗心也没有仔细查看，由于时间紧迫，只有一周了。请问有经验的同学指导一下策略。谢谢。,,,愿中国繁荣昌盛!,0,0,0,7,1,1,1,0,0,1,1
1724,电气工程,提供5月5号早上温莎到多伦多和晚上多伦多回温莎当天往返卡普，可接送机,Ontario,Windsor,这个世界有些冷,0,0,0,7,0,1,1,0,0,1,1
1736,🍂落叶知秋🍂,1,,,0,0,0,0,0,0,1,1,0,0,1,1
1738,____Amber,老板今天有啥肉,,,0,0,0,0,0,0,1,1,0,0,1,1
1759,囍辣售货员地点Ｂ,1,,,"<span class=""emoji emoji1f380""></span>我的生活因有你们而美丽！",24,4,2,11,9,0,1,4,5,1,1
1782,钢琴超市604-306-2563,忍无可忍！万锦市数十名华人家长游行抗议，只为心中一份正义,,,家教信息平台，二手钢琴专家,0,0,0,12,1,0,1,0,0,1,0
1789,Cyndi😏,多少錢,,,我只用 instagram： cyndicy,16,0,2,3,1,1,1,2,2,1,1
1806,赵士越🍻,提供30号早上温莎去多伦多顺风车,,,Manners maketh man,16,0,2,0,0,1,1,3,3,1,1
1820,移民项目方~Sasha,"以下是我查询网站上的信息。房子semi出租出去了，租客一家4口3个月水费420-450刀
多伦多水费均价: $2.2/度(一立方米,或一吨)

$100/2.2=45.4度, 45.4/30天=1.5度/天, 4个人太多了点, 估计每人天天洗澡30分钟以上, 

俺家原来一个半独立HOUSE连租客一家共6个人, 一天用水在0.6度, 一个月均用$30--40刀. ",,,投资多伦多房产世代相传！移民加拿大，人生多一种幸福!,0,0,0,23,3,0,1,0,0,0,1
1832,爸爸的爸爸叫爷爷👴,@Hi.  Vera🍄 找我啊,,,0,0,0,0,0,0,1,1,0,0,1,1
1852,鶸, 提供周三上午温莎去伦敦的carpool,Windsor,,0,0,0,0,0,0,1,1,0,0,1,1
1855,JeffWang（房屋贷款经纪）,一般一家4口水费50-60左右/月,Ontario,Mississauga,"密市及周边地区贷款经纪,诚心为您服务！905-3028899,留言必回!",0,10,0,21,5,0,0,2,2,0,1
1857,BB张,1,Toronto,,*,0,0,0,0,1,1,1,0,0,1,1
1865,困难的时候要微笑,求一个最近回中国的有尝代物,北京,朝阳,0,0,0,0,0,0,1,1,0,0,1,1
1868,Ryan,多少钱？,Ontario,Toronto,0,0,0,0,0,0,1,1,0,0,1,1
1871,magicbeauty半永久,"位于万锦Kennedy和16街附近著名的特鲁多中学对面(步行一分钟），整套出租，也可分租，一楼三间房，地库两间房。进407，404，401，go train车站，附近有图书馆，大型超市，银行，家庭医生，门口有巴士车站，靠近大统华，丰泰，homedepot, costco, shoppers, 有兴趣请联系6478874581，或微信：Beauty1854",Ontario,Toronto,没有最好，只有更好。预约：+1（647）8874581,0,11,0,10,6,1,0,3,3,1,1
1872,招财猫,1,,,0,0,0,0,0,0,1,1,0,0,1,1
1873,ミル麋鹿野良鹿,  求国内有偿带物到温莎 日期越近越好 有的私我,,,努力して、そして生きる fighting fighting,16,0,2,10,1,1,1,1,2,1,1
1874,Shu垠,@J-soap  请问一下opa$250具体的名字是什么啊？,福建,福州,不能行走，便选择飞翔,0,0,0,9,1,1,1,0,0,1,1
1878,🌀Leiko元元🍧,[鼓掌][鼓掌],,,"豆<span class=""emoji emoji1f430""></span>&amp;塞<span class=""emoji emoji1f434""></span>",51,8,4,2,18,0,1,6,11,1,1
1879,极客geekex-kingten,求一个回国有偿带物,北京,西城,0,0,0,0,0,0,1,1,0,0,1,1
1881,HualinWu,谢谢,Toronto,, ,0,0,1,0,0,1,1,0,0,1,1
1883,weymi,求一个dmall回大学的卡普 ,Ontario,Toronto,0,0,0,0,0,0,1,1,0,0,1,1
1885,艹,5.2号从温莎到机场的车有吗 两个人四个箱子,重庆,,0,0,0,0,0,0,1,1,0,0,1,1
1893,日日日日他童鞋👅,1,北京,东城, ,0,0,1,0,0,1,1,0,0,1,1
1897,Sophia,1,Toronto,,平平淡淡才是真,0,0,0,7,0,1,1,0,0,1,1
1913,Jill,求一个从foodbasics回学校附近卡普,Seoul,,This is my kingdom come.,19,0,4,0,1,1,1,5,5,1,1
1917,edward,1,Toronto,,A strong man will struggle with the strom of fate,40,0,9,0,0,1,1,10,10,1,1
1918,加拿大高档水果电商联盟,"T&J Hifruit 安省，渥太华、蒙特利尔、各个城市取货点【备注：a.各位亲朋好友有所在区域的都可以推荐，随时关注我们，随时欢迎👏👏👏；b.各位小伙伴们选择离自己最近的取货点方便取货，严禁串群】
1⃣️Richmondhill 取货点一bayview&hwy7   线上下单
2⃣Richmond hill 取货点二
Yonge & stouffville rd（sunset beach景区）
3⃣北约克取货点一
742 gorden baker road
Donmills & Finch线上下单
4⃣北约克取货点二
申通快递 8 Kingsdale Ave
Yonge & finch 线上下单
5⃣Markham取货点一
9590 Mccowan Rd线上下单
TD银行对面美容店
6⃣Markham取货点二
Woodbine & elgin mills rd E
7⃣太古（士嘉堡）取货点锦绣中华里1B2   线上下单
8⃣Vaughan 取货点islington ave/langstaff rd Woodbridge
9⃣Oshawa&whitby取货点
26 Greenbush PL
1⃣0⃣Stouffville&luxbridge取货点
2499 concession 3 road, goodwood
1⃣1⃣Downtown取货点
832 Bay st 近多大
线上下单
1⃣️2⃣Mississauga取货点。3320 Grechen Rd（黄金广场附近）线上下单
1⃣4⃣滑铁卢大学取货点
Campus Court Plaza, 140 University Ave W, Waterloo 
1⃣5⃣Kwcg地区取货Guelph,waterloo&kitchener
228 Watervale Cres
1⃣6⃣London取货点               80 capulet lane（丰盛超市附近）
1⃣9⃣newmarket取货点
91 chouinard way Aurora
2⃣1⃣渥太华取货点
      1950 merivale rd unit 7
2⃣2⃣渥太华downtown点
         195 besserer 
2⃣3⃣渥太华kanata取货点
       143 grenadine 
2⃣4⃣蒙特利尔西南取货点
         6948 Rue lacrolx
2⃣5⃣蒙特利尔西岛取货点 
         174 av radisson
2⃣6⃣蒙特利尔西南取货点
          天天好超市
          2150 leger, LaSalle
2⃣7⃣蒙城TMR取货点
247 Trenton AV  H3p1z8
2⃣8⃣蒙特利尔鹦鹉岛取货
451rue du versant pincourt
2⃣9⃣蒙城DT取货点
Bonjour 你好超市
2070 de Maisonneuve Ouest",Toronto,,加拿大高品质空运水果电商,0,0,0,12,0,0,1,0,0,0,1
1922,Anita🌟,围栏多高？,Toronto,,在所有人事已非的景色里，我最喜欢你❄️,0,0,0,16,3,1,1,0,0,1,1
1924,SistineZhang,有没有清洗地毯的介绍？,Ontario,Toronto,多伦多地产经纪，买房卖房，家居设计。,0,0,0,15,3,0,1,0,0,1,1
1933,karl,在哪个位置,,,Have a wanderful 2015！,14,4,3,0,1,1,1,4,4,1,1
1945,Yaqi,凉面还是炒鸡好吃～哈哈哈,,,如人飲水，冷暖自知,0,0,0,8,1,1,1,0,0,1,1
1949,小白云,1,Trois-Rivieres,,0,0,0,0,0,0,1,1,0,0,1,1
1957,仇家太多不便透露姓名,司马相如?,Ontario,Toronto,红尘烟浓，迷遮众众，年长负忘，为此何来生。破晓时，兑誓助师正,0,0,0,25,5,1,1,0,0,1,1
1965,YorkLee,以前都沒看到第六個取貨點，這個取貨點的取貨時間是什麼時候。,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
1968,Loreta,谢谢你加航，我再也不敢买你家的机票,,,0,0,0,0,0,0,1,1,0,0,1,1
1972,😎I'm珍珍珍珍珍～, maki买cheesecake吗,Ontario,Toronto,啦啦啦啦，德瑪西亞〜,0,0,0,8,2,1,1,0,0,1,1
1973,Nicole꽃꽃,1,北京,朝阳,我还年轻，我没有时间。,0,0,0,9,2,1,1,0,0,1,1
1974,Judy-AllLine,"求租大学附近2-3室的house, 5月1号开始入住",,,一只叫朱迪的兔子！,0,0,0,8,1,1,1,0,0,1,1
1989,yang加国购6477061984,@York Lee 4～8点,,,0,0,0,0,0,0,1,1,0,0,1,0
2001,Tina,8点半之后有局么,Toronto,,孑孓不独活,0,0,0,5,0,1,1,0,0,1,1
2007,Kita,没有主持人的都不好玩,,,0,0,0,0,0,0,1,1,0,0,1,1
2044,星,1,Toronto,,相信明天会更好！,0,0,0,7,1,1,1,0,0,1,1
2047,清蒸鲈鱼丸,。。,Ontario,Toronto,life is in your own hands,20,0,5,0,0,1,1,6,6,1,1
2053,Ga,有没有人带狗狗回国成功过的 就是带狗进客舱放在脚底下的 求私聊经验,浙江,湖州,0,0,0,0,0,0,1,1,0,0,1,1
2064,JY.,直接买机票吧,Ontario,Toronto,Sup,3,0,0,0,0,1,1,1,1,1,1
2067,Nicole,提供5月20号温莎回国有偿带物,Ontario,Toronto,0,0,0,0,0,0,1,1,0,0,1,1
2068,Yumi,Markham 取貨點二要去哪個群？,澳门,,0,0,0,0,0,0,1,1,0,0,1,1
2074,橘子和橙子,1,,,0,0,0,0,0,0,1,1,0,0,1,1
2076,Christy©小胖子😉,同问 6️⃣Markham 取货点二 应该加哪个群啊？,Ontario,Markham,"陪伴是最长情的告白 <span class=""emoji emoji1f60a""></span>",25,3,3,9,8,0,1,4,5,1,1
2089,优诺,朋友圈最火的游戏，99％的人都中毒了！,上海,浦东新区,0,0,0,0,0,0,1,1,0,0,1,1
2091,双子星,三个月教你从零入门深度学习！| 深度学习精华实践课程 （免费）https://edu.hellobi.com/course/255 ,湖北,,吸引对方，不分离,0,0,0,7,1,1,1,0,0,1,1
2093,天贺-亿达建筑,这太厉害了,,,不买房也能投资地产。开发 翻建。,0,0,1,13,2,0,1,0,0,1,1
2098,魏銘伯Ivan,厉害了,北京,西城,微笑着灰飞烟灭,0,0,0,7,0,1,1,0,0,1,1
2103,Georgia,Markham 取貨點一要去哪個群？,,,不念过去，不畏将来，过去没有对错，只有成长！,0,0,0,18,4,1,1,0,0,1,1
2106,Nick,草地被松鼠挖了好多小坑，可能草下边有虫子，应该怎么处理？大家有没有建议？,Toronto,,如果我不开心，要么是饿了，要么是上一顿没有肉,0,0,0,20,2,1,1,0,0,1,1
2118,Hao,就刚才！Gardinar高速GTS小哥飙车拒捕撞警车，开门撒腿就跑...,上海,杨浦,0,0,0,0,0,0,1,1,0,0,1,1
2124,Gypsy🌶,国泰机舱不能有宠物,Toronto,,"Veni, Vidi, Vici",12,0,2,0,2,1,1,3,3,1,1
2125,Python金融分析课程助手,上线三天，学员数破百人!值得信赖的热度! https://edu.hellobi.com/course/272 学员活跃爆棚，这里有最靠谱的社群! 限时特惠399，早加入课程早服务，早日职场进步!  ,上海,,0,0,0,0,0,0,1,1,0,0,0,1
2126,Maleficent,礼拜一找个皮卡拉东西,云南,昆明,本来想露脸的，结果把屁股给露出来了。,0,0,0,16,2,1,1,0,0,1,1
2179,Iris🐨,求现在multi回大学的的卡普,陕西,西安,亦  正  亦  邪,0,0,6,4,0,1,1,0,0,1,1
2199,Zq,@Bobby 想看照片 [鼓掌][鼓掌],,,结果从来都不重要,0,0,0,8,0,1,1,0,0,1,1
2201,矫情怪😈,谢谢你加航，我再也不敢买你家的机票,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
2203,JL,出一双男冰刀，价格好说,,,non-mainstream barber&amp;dancer&amp;IEEE member,41,0,2,0,5,1,1,7,8,1,1
2226,Leo,有人出宠物车垫吗,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
2227,布偶,有人带猫猫出门过吗,,,0,0,0,0,0,0,1,1,0,0,1,1
2266,加拿大旅游公司,"🚀

全球招商 [嘴唇] 互联网生意 0投资 0风险，会用微信就可以。💵 赠送加拿大移民机会！✈

http://www.canadaso.com/services/service/2949",Vancouver,,特价出售全球:机票、酒店、邮轮、旅游产品，保证市场最低价格！,0,0,0,24,6,0,1,0,0,0,1
2269,Lindsay,我女儿学的不一样,Ontario,Toronto,人是不是喜欢想当年呢？,0,0,0,10,1,1,1,0,0,1,1
2302,小酸枣儿,@❤yarina❤ 什么时候到杨梅呀,Toronto,,美好，是生活中的每个温暖的细节，是你 🦋,0,0,1,16,3,1,1,0,0,1,1
2316,Stephanie小荷花🌸,实例解析+8招锦囊妙计：一键消除租房困惑,Toronto,,长不过执念，短不过善变,0,0,0,10,1,1,1,0,0,1,1
2317,Zack,1,北京,西城,0,0,0,0,0,0,1,1,0,0,1,1
2332,trance﹏',有意思[偷笑],广东,广州,活着要有一颗感恩的心,0,0,0,10,0,1,1,0,0,1,1
2334,张议之🌚🌚🎩😈,我也觉得,,,Do not go gentle into that good night,30,0,7,0,0,1,1,8,8,1,1
2347,本楼吹要减肥,这个胖好多,天津,红桥,本楼吹要减肥 小楼昨夜又东风⛱专注二十年楼吹 ,0,0,2,20,1,1,1,0,0,1,1
2362,南,720P的太低像素了 要买就买高清的,Ontario,Toronto,繁华三千，看淡皆是浮云，烦恼无数，想开就是晴天,0,0,0,20,3,1,1,0,0,1,1
2372,Amber_Tu🍉,如果是他本人的车的话应该很容易就查到呀，除非立刻回国🌚,,,"不要期待、不要假想、顺其自然；如若注定，便一定会发生...<span class=""emoji emoji1f33c""></span>",25,3,2,22,15,0,1,4,5,1,1
2415,Jingyi,请问有没有出airbed的,Ontario,Windsor,永远理性正直，永远欢喜可爱。,0,0,0,12,2,1,1,0,0,1,1
2420,🙄🙄🙄米亚不是miya,ins上有车行说这是他们前几天丢的车还有r8好像,Vancouver,,"                    




 






   
  你猜。",0,0,39,2,1,1,1,0,0,1,1
2430,余L俊E辉X,Man detained after ramming stolen Porsche into police cruiser | CP24.com,江苏,苏州,(¬_¬),0,0,0,0,5,1,1,0,0,1,1
2431,Lili👗,提供明天晚上多伦多去温莎的卡普，星期一中午也可以,Toronto,,开心,0,0,0,2,0,1,1,0,0,1,1
2436,zoey,求明早九点半去温莎机场接人的卡普,,,I be moving on~~,11,0,3,0,2,1,1,4,4,1,1
2438,明同学,有一点钟的左右的卡普,四川,成都,0,0,0,0,0,0,1,1,0,0,1,1
2442,chad,逆反孩子的解析及支招,上海,浦东新区,0,0,0,0,0,0,1,1,0,0,1,1
2445,冬,今朝有酒今朝醉，你不帮我我流泪；北京移动想给你最好的。,北京,,0,0,0,0,0,0,1,1,0,0,1,1
2458,木槿花,……——……,云南,昆明,人生如梦，岁月无情，蓦然回首才发信人活着是一种心情。,0,0,0,23,3,1,1,0,0,1,1
2465,啊哒,没别的，就问你扛不扛揍！,湖北,,0,0,0,0,0,0,1,1,0,0,1,1
2471,喜你人多💋,全世界聪明人都在玩的游戏，快来试试！,北京,海淀,0,0,0,0,0,0,1,1,0,0,1,1
2473,梦风,这游戏体验有点差,广东,中山,梦风,0,0,0,2,0,1,1,0,0,1,1
2477,Typing...,求一个四号晚上12.15机场到怡乐的carpool,,,why so serious :),12,0,3,0,2,1,1,3,3,1,1
2482,👿杰杰👿,还在玩跳一跳吗，信不信玩这个你肯定跳不过我,,,人生没有目的，生活没有意义。,0,0,0,12,2,1,1,0,0,1,1
2484,JinnyYao,求教：朋友分门地库租客，平日相处不是太愉快，租客回国一个月要让他弟弟住过来  这种情况感觉房东可以拒绝吗？,,,0,0,0,0,0,0,1,1,0,0,1,1
2507,芳,大家知道施华洛世奇今天有折扣吗？几折啊😊,山东,潍坊,向幸福出发,0,0,0,5,0,1,1,0,0,1,1
2508,YuKi妖怪,买二送一,Toronto,,愿情话终有主，你我不孤独。。               ,0,0,15,11,3,1,1,0,0,1,1
2510,Mr.坏,求10点能帮忙搬家的卡普,,,0,0,0,0,0,0,1,1,0,0,1,1
2512,汤姆兄弟贷款经纪-杜颖Clara,租女生或者一家人👪比较好,,,贷款遇到困难？留学生，持工作签证，旅游签证，难民？欢迎咨询,0,0,0,24,5,0,1,0,0,0,1
2521,邦-䒕元,提供5.3多伦多往返车～,Ontario,Windsor,大雁为什么要飞去南方过冬。,0,0,0,12,1,1,1,0,0,1,1
2522,ON-TIME,提供5.3多伦多往返车～,Ontario,Windsor,大雁为什么要飞去南方过冬。,0,0,0,12,1,1,1,0,0,1,1
2530,Hily-微微,求5月2号晚上6点50时多伦多机场接机到温莎的接机服务,,,"<span class=""emoji emoji1f388""></span>不悲不喜<span class=""emoji emoji1f48d""></span>不卑不亢 ASmilingSunflower <span class=""emoji emoji1f33b""></span>🌞",91,10,8,8,25,0,1,7,16,1,1
2542,Matthew持牌iccrc移民-法律顾问,垃圾装修公司Stonetile and beyond! 蔡妍和Simon Yin!骂客人傻逼!! - 欢乐灌水 - 约克论坛 - 加拿大多伦多,Toronto,,移民-签证-留学-法律付费咨询.100 CAD 半小时. 416-939-9529 ,3,13,4,15,7,0,0,5,5,0,1
2549,Richlee,[有人@我]整个朋友圈都在玩&amp;lt;弹球王者&amp;gt;！主播们已经玩到停不下来！,广东,深圳,念之所至，心之所往,0,0,0,8,1,1,1,0,0,1,1
2550,Kaisy,"很高兴帮Elaine群主在回国期间管理这个群, 我也会努力为群友提供一些好deal, 多谢大家的支持[愉快][玫瑰]",Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
2552,甦玝沐旸,@SEAN WANG 有多少人？,云南,,susan,5,0,0,0,0,1,1,1,1,1,1
2555,Cwing思颖,1,,,乌鸦的嘴里从不说脏话,0,0,0,10,0,1,1,0,0,1,1
2558,房东群广告商务,@甦玝沐旸 以后我们还会组织类似的活动，这一次是一个尝试[愉快][愉快][愉快],,,0,0,0,0,0,0,1,1,0,0,0,1
2559,Richard,@恒致冷暖气保温棉-6476689361 谢谢,Alberta,Calgary,0,0,0,0,0,0,1,1,0,0,1,1
2561,Michelle,@Elaine (滟) 旅途愉快,Ontario,Toronto,loving Toronto,13,0,1,0,0,1,1,2,2,1,1
2570,兰兰,@YuKi 妖怪 请问这活动是每家店都有吗？,,,0,0,0,0,0,0,1,1,0,0,1,1
2594,Yanzi,@Elaine (滟) ，旅途愉快！,,,0,0,0,0,0,0,1,1,0,0,1,1
2647,坚果猫,超级难上,,,做我的猫,0,0,0,4,0,1,1,0,0,1,1
2659,JuliJu,出 小电饭锅 5刀,,,"To the moon and back <span class=""emoji emoji1f319""></span>",40,4,7,0,8,0,1,9,10,1,1
2675,LYL。,有人想养兔子吗🐰,Ontario,Toronto,0,0,0,0,0,0,1,1,0,0,1,1
2680,移民房产Sasha,[强][强][强],,,投资多伦多房产世代相传！移民加拿大，人生多一种幸福!,0,0,0,23,3,0,1,0,0,0,1
2683,Jessica冰洁Li,@LYL。 加我加我,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
2684,李阳,"号外号外
@一个投资300亿超级实力平台，互联网运作6年之久！
做好了每年2次出国游，公司免费买保险。
可以进清华静修，可以排队拿奔驰豪车一台。
五年即可获得每月2万一年一24万的退休养老金，
免费注册，每天系统排队注册，比你晚注册的人就会排队在你后面，然后获得奖金，注册成功之后关注下属消费团队，注册30分钟后，如果没有效果，请拉黑我，
相信就是成功，给别人机会就是给自己机会。
免费注册网址：t.cn/RnNA3pv",,,0,0,0,0,0,0,1,1,0,0,1,1
2695,TonyDong,帮朋友求一个底特律机场5月24号上午8:30的carpool，4个人4个小箱。能提供carpool 的私聊。,,,找的就是你,0,0,0,5,0,1,1,0,0,1,1
2704,"张建梅:中医博士副教授,加注册医师",谢谢[玫瑰][玫瑰],山东,临沂,腹有诗书气自华,0,0,0,7,0,1,1,0,0,1,1
2707,Stephanie刘鸣豫,哇，谢谢！@J-soap  ,,,0,0,0,0,0,0,1,1,0,0,1,1
2709,Lynn,求温莎到多伦多，4月30号周一下午,,,0,0,0,0,0,0,1,1,0,0,1,1
2711,CandYWu💋,[有人@我]这字竟然读这个？你敢信吗？,Toronto,,"<span class=""emoji emoji1f48b""></span>跨越所有的阻碍 把誓言逐一实现<span class=""emoji emoji1f44c""></span>🏻",50,6,5,14,17,0,1,5,10,1,1
2742,Beni,这主意不错，我想拼单，最好直接能到店里拿货。,Toronto,,0,0,0,0,0,0,1,1,0,0,1,1
2749,💤؞linlin,这个吸尘器吸地毯吸猫狗毛吸的干净吗？,广东,江门,对你      不离不弃 等着你,0,0,7,9,0,1,1,0,0,1,1
2752,Eurydice,這價錢還能不乾淨嗎[掩面],Sha Tin,,若果時間可倒留,0,0,0,7,0,1,1,0,0,1,1
2757,吖糍Nancy,求5月7号 多伦多回温莎 carpool 海航HU7975， 5.7 15:15 到达,广东,广州,0,0,0,0,0,0,1,1,0,0,1,1
2759,A🍀豆妈🍁JESSICA🌸,@李静 几间房？多少钱？,,,0,0,0,0,0,0,1,1,0,0,1,1
2768,天善智能客服一号,"最后1小时，特惠299！爬当当、爬豆瓣、爬糗百、爬淘宝、爬京东、爬腾讯～Python爬虫案例实战从零开始一站通！https://edu.hellobi.com/course/261
从零开始，即学即用，受益无穷！",,,0,0,0,0,0,0,1,1,0,0,1,1
2773,NoN,看到情侣出双入对，单声狗早已以泪洗面！,Toronto,,欢迎进入小可爱的朋友圈,0,0,0,11,0,1,1,0,0,1,1
2776,Mary丁,1,Windsor,,0,0,0,0,0,0,1,1,0,0,1,1
2779,王聪Peter,史上最粘人的狗，竟然是这个品种！,Ontario,Toronto,"everything will be ok in the end,if it's not ok,it's not end",45,0,11,0,4,1,1,11,16,1,1
2782,miaoma,求明天到多伦多的carpool，一个人,,,0,0,0,0,0,0,1,1,0,0,1,1
2784,圆君,@秋秋🌟三宝妈 上次那个拖把链接没留，请问还有吗[害羞]谢谢🌹,Toronto,,既以为人，己愈有；既已与人，己愈多。,0,0,0,14,4,1,1,0,0,1,1
2795,寻觅,有人@我 谈什么恋爱，弹球才是正经事！,广东,深圳,筑梦未来,0,0,0,4,0,1,1,0,0,1,1
2801,H♠️Q🔛飞天小女警,求个能帮忙搬家的人,辽宁,抚顺,"Be a better me！<span class=""emoji emoji1f493""></span>",35,4,5,0,9,0,1,8,9,1,1
2804,苍木,1,Toronto,,为了揾两餐,0,0,0,5,0,1,1,0,0,1,1
2805,小崔,求5月6日一个Niagara Fall沿线方向卡普。,,,Don’t let anyone poison your mind with toxic bullshit.,44,0,8,0,2,1,1,10,10,1,1
2808,Wilson,1,,,每天都是新的开始。,0,0,0,8,1,1,1,0,0,1,1
2816,Bing（按揭.投资理财.保险）,1,Ontario,Toronto,0,0,0,0,0,0,1,1,0,0,0,1
2819,他么就是个逗比,1,,,0,0,0,0,0,0,1,1,0,0,1,1
2820,暗夜守护者,老板大气,,,0,0,0,0,0,0,1,1,0,0,1,1
2821,刚好遇见你,1,,,哥的寂寞，就如一杯酒,0,0,0,9,1,1,1,0,0,1,1
2822,天天吃炸鸡,1,,,0,0,0,0,0,0,1,1,0,0,1,1
2823,Lidia,有肉吃了,,,0,0,0,0,0,0,1,1,0,0,1,1
